Id,Id2,Geography,Total,Occupied,Vacant
1000000US210670001001000,210670001001000,"Block 1000, Block Group 1, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001001001,210670001001001,"Block 1001, Block Group 1, Census Tract 1, Fayette County, Kentucky",5,5,0
1000000US210670001001002,210670001001002,"Block 1002, Block Group 1, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001001003,210670001001003,"Block 1003, Block Group 1, Census Tract 1, Fayette County, Kentucky",5,4,1
1000000US210670001001004,210670001001004,"Block 1004, Block Group 1, Census Tract 1, Fayette County, Kentucky",24,21,3
1000000US210670001001005,210670001001005,"Block 1005, Block Group 1, Census Tract 1, Fayette County, Kentucky",180,141,39
1000000US210670001001006,210670001001006,"Block 1006, Block Group 1, Census Tract 1, Fayette County, Kentucky",7,7,0
1000000US210670001001007,210670001001007,"Block 1007, Block Group 1, Census Tract 1, Fayette County, Kentucky",63,59,4
1000000US210670001001008,210670001001008,"Block 1008, Block Group 1, Census Tract 1, Fayette County, Kentucky",33,29,4
1000000US210670001001009,210670001001009,"Block 1009, Block Group 1, Census Tract 1, Fayette County, Kentucky",1,0,1
1000000US210670001001010,210670001001010,"Block 1010, Block Group 1, Census Tract 1, Fayette County, Kentucky",17,17,0
1000000US210670001001011,210670001001011,"Block 1011, Block Group 1, Census Tract 1, Fayette County, Kentucky",322,197,125
1000000US210670001001012,210670001001012,"Block 1012, Block Group 1, Census Tract 1, Fayette County, Kentucky",38,23,15
1000000US210670001001013,210670001001013,"Block 1013, Block Group 1, Census Tract 1, Fayette County, Kentucky",26,24,2
1000000US210670001001014,210670001001014,"Block 1014, Block Group 1, Census Tract 1, Fayette County, Kentucky",22,19,3
1000000US210670001001015,210670001001015,"Block 1015, Block Group 1, Census Tract 1, Fayette County, Kentucky",16,15,1
1000000US210670001001016,210670001001016,"Block 1016, Block Group 1, Census Tract 1, Fayette County, Kentucky",47,44,3
1000000US210670001001017,210670001001017,"Block 1017, Block Group 1, Census Tract 1, Fayette County, Kentucky",52,48,4
1000000US210670001001018,210670001001018,"Block 1018, Block Group 1, Census Tract 1, Fayette County, Kentucky",11,11,0
1000000US210670001001019,210670001001019,"Block 1019, Block Group 1, Census Tract 1, Fayette County, Kentucky",1,1,0
1000000US210670001001020,210670001001020,"Block 1020, Block Group 1, Census Tract 1, Fayette County, Kentucky",21,19,2
1000000US210670001001021,210670001001021,"Block 1021, Block Group 1, Census Tract 1, Fayette County, Kentucky",18,15,3
1000000US210670001001022,210670001001022,"Block 1022, Block Group 1, Census Tract 1, Fayette County, Kentucky",5,5,0
1000000US210670001001023,210670001001023,"Block 1023, Block Group 1, Census Tract 1, Fayette County, Kentucky",38,22,16
1000000US210670001001024,210670001001024,"Block 1024, Block Group 1, Census Tract 1, Fayette County, Kentucky",19,16,3
1000000US210670001001025,210670001001025,"Block 1025, Block Group 1, Census Tract 1, Fayette County, Kentucky",4,3,1
1000000US210670001001026,210670001001026,"Block 1026, Block Group 1, Census Tract 1, Fayette County, Kentucky",2,2,0
1000000US210670001001027,210670001001027,"Block 1027, Block Group 1, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001001028,210670001001028,"Block 1028, Block Group 1, Census Tract 1, Fayette County, Kentucky",2,2,0
